hugo	pfam_coord
ICK	{'Pkinase': [4, 284]}
CNP	{'CNPase': [186, 421], 'AAA_33': [52, 175]}
MPHOSPH8	{'Chromo': [59, 109], 'Ank_2': [570, 664, '//', 647, 730]}
SRP72	{'TPR_1': [226, 259], 'SRP72': [526, 588], 'TPR_6': [341, 371], 'TPR_9': [412, 497, '//', 19, 70]}
ZNF169	{'KRAB': [14, 54], 'zf-H2C2_2': [248, 273, '//', 472, 496, '//', 416, 441, '//', 556, 581, '//', 445, 469, '//', 276, 301, '//', 304, 329, '//', 332, 355, '//', 360, 385]}
PTGIS	{'p450': [30, 494]}
PTGIR	{'7tm_1': [30, 292]}
TCERG1L	{'FF': [452, 500, '//', 519, 567]}
ANKRD63	{'Ank_2': [61, 151]}
ANKRD61	{'Ank_2': [140, 229, '//', 255, 308, '//', 201, 256], 'Ank': [77, 107]}
RTEL1	{'Helicase_C_2': [545, 731], 'DEAD_2': [111, 272]}
NPM1	{'Nucleoplasmin': [13, 196]}
NPM3	{'Nucleoplasmin': [33, 174]}
HSPA13	{'HSP70': [33, 339, '//', 323, 460]}
NXN	{'Thioredoxin_6': [268, 424], 'Thioredoxin_8': [193, 287, '//', 30, 145]}
PEMT	{'PEMT': [88, 192]}
HSPA14	{'HSP70': [3, 509]}
TXNDC15	{'Thioredoxin': [192, 294]}
ZNF286A	{'zf-C2H2': [243, 265], 'KRAB': [45, 81], 'zf-H2C2_2': [396, 421, '//', 257, 282, '//', 424, 449, '//', 368, 393, '//', 480, 505, '//', 452, 477, '//', 340, 365, '//', 312, 337]}
TXNDC17	{'DUF953': [8, 122]}
NEK1	{'Pkinase': [4, 258]}
TMEM26	{'Tmem26': [3, 303]}
TMEM25	{'C2-set_2': [26, 118]}
TXNDC12	{'Thioredoxin_7': [39, 120]}
DGCR14	{'Es2': [33, 401]}
DENR	{'SUI1': [93, 187]}
ZNF286B	{'zf-H2C2_2': [397, 422, '//', 425, 450, '//', 369, 394, '//', 260, 283, '//', 481, 506, '//', 453, 478, '//', 313, 338, '//', 341, 366]}
SCFD1	{'Sec1': [43, 636]}
PPP3R2	{'EF-hand_7': [91, 157, '//', 20, 79]}
FAM222A	{'FAM222A': [27, 160, '//', 155, 452]}
SCG5	{'Secretogranin_V': [4, 205]}
FAM222B	{'FAM222A': [27, 562]}
SCG3	{'SGIII': [16, 468]}
CPSF4L	{'zf-CCCH': [63, 87]}
AP5S1	{'AP-5_subunit_s1': [1, 195]}
SMARCC1	{'Myb_DNA-binding': [620, 665], 'SWIRM': [449, 537]}
SEMA4C	{'PSI': [499, 590], 'Sema': [53, 481]}
SEMA4D	{'PSI': [502, 554], 'Sema': [50, 482], 'ig': [569, 626]}
ASB12	{'SOCS_box': [268, 308], 'Ank_2': [68, 161, '//', 30, 126, '//', 134, 245]}
SEMA4F	{'PSI': [512, 566], 'Sema': [65, 495]}
OTUD7A	{'OTU': [205, 368], 'UBA_4': [28, 66]}
BYSL	{'Bystin': [136, 436]}
FBXO18	{'F-box-like': [212, 261], 'UvrD-helicase': [632, 693], 'UvrD_C': [850, 936]}
TRIM16L	{'PRY': [159, 208], 'SPRY': [210, 335]}
VCY1B	{'VCX_VCY': [1, 123]}
SCN4B	{'V-set': [30, 151]}
CTTNBP2	{'CortBP2': [26, 140, '//', 136, 181], 'Ank_2': [714, 807, '//', 801, 877]}
CDC42BPA	{'Pkinase_C': [361, 407], 'DMPK_coil': [881, 941], 'C1_1': [1013, 1065], 'Pkinase': [77, 343], 'CNH': [1232, 1496]}
GALNT16	{'Ricin_B_lectin': [432, 552], 'Glycos_transf_2': [126, 308]}
TMCO3	{'Na_H_Exchanger': [274, 661]}
ZNF599	{'zf-C2H2_6': [198, 221], 'zf-C2H2': [563, 585], 'KRAB': [9, 49], 'zf-H2C2_2': [549, 574, '//', 437, 462, '//', 493, 518, '//', 381, 406, '//', 241, 266, '//', 269, 294, '//', 521, 544, '//', 410, 432, '//', 325, 350, '//', 465, 490, '//', 213, 238, '//', 354, 376, '//', 297, 322]}
CDC42BPB	{'C1_1': [1026, 1078], 'DMPK_coil': [878, 939], 'Pkinase': [76, 342], 'CNH': [1245, 1510]}
GIP	{'Hormone_2': [52, 79]}
USP17L15	{'HABP4_PAI-RBP1': [374, 458], 'UCH': [79, 372]}
OR4D2	{'7tm_4': [139, 280]}
SCCPDH	{'Saccharop_dh': [10, 422]}
RPP38	{'Ribosomal_L7Ae': [99, 189]}
HSPA8	{'HSP70': [6, 612]}
PSMB7	{'Pr_beta_C': [235, 273], 'Proteasome': [40, 221]}
SERP1	{'RAMP4': [1, 64]}
GALNT15	{'Ricin_B_lectin': [505, 628], 'Glycos_transf_2': [194, 377]}
ADAM30	{'ADAM_CR': [485, 606], 'Disintegrin': [408, 483], 'Pep_M12B_propep': [41, 160], 'Reprolysin': [203, 393]}
MS4A4A	{'CD20': [65, 207]}
BMX	{'Pkinase_Tyr': [417, 666], 'SH2': [296, 377], 'PH': [5, 111], 'BTK': [118, 149]}
CDA	{'dCMP_cyt_deam_1': [12, 118]}
MOCS3	{'MoeZ_MoeB': [218, 304], 'ThiF': [82, 215], 'Rhodanese': [337, 452]}
STRBP	{'dsrm': [512, 574, '//', 389, 451], 'DZF': [87, 334]}
TTI2	{'DUF2454': [149, 400]}
MOCS2	{'ThiS': [9, 88]}
FFAR4	{'7tm_1': [57, 337]}
APOA1	{'Apolipoprotein': [68, 267]}
GALNT11	{'Ricin_B_lectin': [481, 604], 'Glycos_transf_2': [154, 341]}
MOCS1	{'Mob_synth_C': [241, 368], 'Fer4_12': [67, 195], 'MoaC': [493, 628], 'Radical_SAM': [74, 236]}
NPB	{'NPBW': [5, 125]}
AHR	{'PAS': [113, 227], 'HLH': [35, 80], 'PAS_3': [297, 383]}
PLXNA3	{'TIG': [935, 1019, '//', 1023, 1121, '//', 840, 932, '//', 1127, 1210], 'PSI': [490, 540, '//', 637, 684, '//', 785, 838], 'Sema': [33, 471], 'Plexin_cytopl': [1292, 1841]}
GADD45GIP1	{'CR6_interact': [1, 212]}
COLEC12	{'Collagen': [530, 589, '//', 441, 499], 'Lectin_C': [624, 732]}
ENC1	{'Kelch_1': [329, 375, '//', 527, 572, '//', 377, 431, '//', 481, 524], 'BACK': [149, 251], 'BTB': [36, 144]}
CGRRF1	{'zf-C3HC4_3': [270, 315]}
COLEC11	{'Collagen': [21, 93, '//', 62, 116], 'Lectin_C': [159, 266]}
NPW	{'NPBW': [12, 135]}
TXNRD1	{'Pyr_redox_2': [164, 490], 'Glutaredoxin': [68, 130], 'Pyr_redox_dim': [520, 633], 'Pyr_redox': [342, 422]}
CDS2	{'CTP_transf_1': [70, 400]}
NPS	{'Neuropeptide_S': [24, 88]}
ACTA2	{'Actin': [4, 377]}
EMCN	{'Endomucin': [1, 261]}
QSOX2	{'Evr1_Alr': [430, 532], 'Thioredoxin': [62, 172]}
QSOX1	{'Evr1_Alr': [405, 505], 'Thioredoxin': [42, 149]}
GTSE1	{'GTSE1_N': [8, 152]}
SYCE1L	{'SYCE1': [41, 164]}
TSTD1	{'Rhodanese': [8, 113]}
PKHD1L1	{'TIG': [146, 255, '//', 1831, 1910, '//', 1155, 1234, '//', 2091, 2176, '//', 1999, 2085, '//', 1659, 1743, '//', 1240, 1326, '//', 1916, 1997, '//', 270, 354, '//', 1566, 1652, '//', 1330, 1402, '//', 1067, 1149, '//', 1749, 1830, '//', 31, 133], 'Beta_helix': [3401, 3553], 'PA14': [338, 479], 'G8': [2184, 2304, '//', 3036, 3174]}
BNIPL	{'CRAL_TRIO_2': [201, 350], 'BNIP2': [81, 211]}
USP17L12	{'HABP4_PAI-RBP1': [374, 458], 'UCH': [79, 372]}
TADA2A	{'Myb_DNA-binding': [72, 118], 'SWIRM': [362, 442]}
TADA2B	{'Myb_DNA-binding': [67, 113], 'ZZ': [6, 47]}
PSMB4	{'Proteasome': [50, 237]}
FBXO27	{'FBA': [102, 280], 'F-box': [24, 72]}
LYN	{'Pkinase_Tyr': [247, 497], 'SH3_1': [69, 115], 'SH2': [129, 211]}
OR1I1	{'7tm_4': [139, 283]}
UBXN2B	{'UBX': [251, 330], 'SEP': [146, 220]}
UBXN2A	{'UBX': [168, 247], 'SEP': [65, 138]}
VWA5B2	{'VWA_3': [364, 512], 'VIT_2': [2, 79]}
VWA5B1	{'VWA_3': [360, 514], 'VIT_2': [2, 79]}
KIAA0319	{'REJ': [462, 683, '//', 651, 815, '//', 363, 566]}
VTA1	{'DUF605': [15, 185, '//', 175, 303]}
PUS7L	{'TruD': [263, 696]}
ZNF223	{'KRAB': [8, 48], 'zf-H2C2_2': [358, 383, '//', 274, 298, '//', 218, 243, '//', 386, 411, '//', 190, 215, '//', 246, 271]}
ZNF227	{'KRAB': [23, 63], 'zf-H2C2_2': [646, 671, '//', 394, 419, '//', 534, 559, '//', 758, 783, '//', 618, 643, '//', 478, 503, '//', 590, 615, '//', 423, 447, '//', 702, 726, '//', 451, 475, '//', 338, 363, '//', 675, 699, '//', 506, 531, '//', 562, 586, '//', 730, 755, '//', 366, 390, '//', 310, 335]}
ZNF229	{'zf-C2H2': [349, 371], 'KRAB': [34, 74], 'zf-H2C2_2': [391, 416, '//', 475, 500, '//', 614, 639, '//', 754, 779, '//', 419, 442, '//', 670, 695, '//', 558, 583, '//', 783, 807, '//', 642, 667, '//', 698, 723, '//', 586, 611, '//', 726, 751, '//', 531, 555]}
KCNQ4	{'KCNQ_channel': [462, 658], 'Ion_trans': [134, 318]}
KCNQ2	{'KCNQ_channel': [464, 664], 'Ion_trans': [128, 312], 'KCNQC3-Ank-G_bd': [767, 869]}
ALDH8A1	{'Aldedh': [18, 483]}
HOXC10	{'Homeobox': [269, 325]}
HOXC13	{'Homeobox': [261, 317], 'HoxA13_N': [52, 168]}
HOXC12	{'Homeobox': [215, 271]}
VEGFC	{'PDGF': [131, 211], 'CXCXC': [331, 344, '//', 283, 296, '//', 307, 320]}
VEGFB	{'PDGF': [47, 124]}
RTTN	{'RTTN_N': [15, 112]}
BNIP1	{'Sec20': [133, 224]}
LHX5	{'LIM': [64, 123, '//', 5, 60], 'Homeobox': [181, 237]}
PDE4C	{'PDEase_I': [387, 631]}
LHX6	{'LIM': [131, 188, '//', 70, 127], 'Homeobox': [220, 276]}
ZAN	{'MAM': [41, 204, '//', 373, 536, '//', 211, 368], 'TIL': [1426, 1479, '//', 2211, 2267, '//', 1812, 1867, '//', 1044, 1093], 'C8': [1735, 1809, '//', 1348, 1423, '//', 2134, 2208, '//', 2540, 2598], 'VWD': [1156, 1308, '//', 1542, 1697, '//', 1931, 2086, '//', 2331, 2485], 'TILa': [2268, 2324, '//', 1480, 1535, '//', 1094, 1148, '//', 1868, 1924, '//', 2653, 2707], 'EGF': [2712, 2742]}
MFSD4	{'MFS_1': [21, 437]}
KIAA1549	{'DUF3827': [1035, 1702]}
ASTN1	{'FXa_inhibition': [660, 707]}
KIR2DL3	{'ig': [42, 102], 'Ig_2': [128, 220]}
EMC3	{'DUF106': [5, 191]}
EMC2	{'TPR_1': [97, 120], 'TPR_19': [132, 199]}
EMC1	{'PQQ_2': [59, 255], 'DUF1620': [786, 992]}
EMC7	{'DUF2012': [56, 168]}
EMC6	{'Rab5ip': [24, 104]}
NAB2	{'NCD1': [34, 115], 'NCD2': [199, 366]}
SCAI	{'DUF3550': [63, 558]}
CRYGN	{'Crystall': [7, 88, '//', 96, 155]}
CLCC1	{'MCLC': [3, 551]}
OTUD4	{'OTU': [40, 149]}
OTUD3	{'OTU': [71, 187]}
AP3M1	{'Adap_comp_sub': [165, 418], 'Clat_adaptor_s': [1, 136]}
AP3M2	{'Adap_comp_sub': [165, 418], 'Clat_adaptor_s': [1, 137]}
MIB1	{'Ank_4': [563, 616], 'ZZ': [79, 124], 'zf-C3HC4_3': [862, 907, '//', 815, 860, '//', 959, 1002], 'Ank_2': [527, 593, '//', 435, 527, '//', 656, 724], 'MIB_HERC2': [154, 221, '//', 15, 74]}
AKAP12	{'WSK': [604, 634, '//', 753, 783, '//', 798, 828], 'RII_binding_1': [1541, 1558]}
AKAP10	{'RGS': [125, 368, '//', 380, 504]}
OSTF1	{'Ank_5': [127, 180], 'Ank_2': [77, 170], 'SH3_1': [18, 63]}
ZSCAN5D	{'zf-H2C2_2': [394, 419, '//', 450, 475, '//', 366, 391, '//', 422, 447], 'SCAN': [33, 126]}
COL2A1	{'COLFI': [1269, 1486], 'Collagen': [199, 260, '//', 116, 182, '//', 792, 860, '//', 1158, 1217, '//', 429, 498, '//', 237, 317, '//', 843, 917, '//', 732, 808, '//', 360, 437], 'VWC': [34, 89]}
HTRA2	{'PDZ_2': [360, 453], 'Trypsin_2': [182, 320]}
BSDC1	{'BSD': [143, 204]}
SPI1	{'Ets': [169, 255]}
MFSD6	{'MFS_1': [450, 705], 'MFS_1_like': [67, 143]}
ANTXR2	{'Ant_C': [394, 486], 'VWA': [44, 213], 'Anth_Ig': [214, 318]}
UNC5CL	{'Death': [414, 491], 'ZU5': [101, 199]}
DYNC1LI1	{'DLIC': [43, 519]}
LNP1	{'LNP1': [7, 175]}
EGLN3	{'2OG-FeII_Oxy_3': [120, 213]}
DNAH3	{'AAA_9': [3044, 3274], 'AAA_8': [2396, 2665], 'AAA_7': [2037, 2306], 'AAA_6': [1391, 1621], 'MT': [2677, 3027], 'Dynein_heavy': [3403, 4113], 'DHC_N2': [861, 1270]}
MCF2	{'CRAL_TRIO_2': [6, 89], 'RhoGEF': [499, 674]}
PLA2G16	{'LRAT': [2, 126]}
C17orf85	{'DUF2414': [121, 178]}
SPIC	{'Ets': [110, 196]}
TNKS1BP1	{'Tankyrase_bdg_C': [1554, 1726]}
HIBCH	{'ECH_C': [260, 377]}
PLA2G10	{'Phospholip_A2_1': [44, 164]}
ARID5B	{'ARID': [315, 406]}
ARID5A	{'ARID': [52, 143]}
BMPR1A	{'TGF_beta_GS': [204, 232], 'Pkinase': [234, 521], 'Activin_recp': [59, 138]}
PSMD8	{'PCI_Csn8': [186, 327]}
BMPR1B	{'TGF_beta_GS': [174, 202], 'Pkinase': [204, 491], 'Activin_recp': [30, 110]}
TP73	{'SAM_2': [485, 549], 'P53_tetramer': [345, 386], 'P53': [113, 309]}
AKR7L	{'Aldo_ket_red': [11, 320]}
CRYGB	{'Crystall': [3, 82, '//', 90, 171]}
GLS2	{'Glutaminase': [177, 463], 'Ank_2': [490, 583]}
CT47A12	{'CT47': [1, 279]}
SLC38A5	{'Aa_trans': [46, 460]}
GSTT2	{'GST_C': [95, 200], 'GST_N': [10, 75]}
LAPTM4A	{'Mtp': [36, 233]}
SPCS2	{'SPC25': [55, 219]}
B3GALT5	{'Galactosyl_T': [71, 261]}
ARL1	{'Arf': [5, 177]}
CT47A10	{'CT47': [1, 279]}
JPH2	{'MORN': [314, 336, '//', 106, 128, '//', 129, 151, '//', 291, 313, '//', 14, 36, '//', 60, 78, '//', 38, 59, '//', 82, 103]}
DHFRL1	{'DHFR_1': [4, 185]}
RCVRN	{'EF-hand_8': [40, 93], 'EF-hand_7': [101, 176]}
WDR85	{'WD40': [229, 268]}
WDR86	{'WD40': [5, 43, '//', 183, 221, '//', 305, 341, '//', 87, 123, '//', 127, 179, '//', 225, 260, '//', 265, 301, '//', 47, 83]}
ALOX5AP	{'MAPEG': [5, 136]}
SPATA31E1	{'FAM75': [420, 789], 'DUF4599': [109, 197]}
WDR81	{'WD40': [588, 624, '//', 734, 804]}
WDR82	{'WD40': [97, 135, '//', 12, 49, '//', 245, 267, '//', 273, 304]}
WDR83	{'WD40': [15, 53, '//', 99, 137, '//', 57, 95, '//', 223, 263, '//', 189, 219]}
CRYGC	{'Crystall': [3, 82, '//', 89, 170]}
CTNNAL1	{'Vinculin': [31, 310, '//', 537, 695, '//', 317, 527]}
WDR89	{'WD40': [163, 199, '//', 60, 98, '//', 311, 349]}
ACER2	{'Ceramidase': [7, 263]}
SIM2	{'PAS': [79, 164], 'SIM_C': [358, 661], 'PAS_3': [242, 329]}
SIM1	{'PAS': [79, 167], 'HLH': [2, 52], 'SIM_C': [359, 670], 'PAS_3': [242, 329]}
ACER1	{'Ceramidase': [2, 257]}
CDX1	{'Homeobox': [155, 211], 'Caudal_act': [13, 147]}
SEL1L	{'fn2': [127, 168], 'Sel1': [483, 518, '//', 664, 698, '//', 447, 482, '//', 373, 409, '//', 410, 446, '//', 627, 662, '//', 183, 218, '//', 255, 290, '//', 292, 324, '//', 519, 553]}
AARSD1	{'tRNA-synt_2c': [9, 101], 'tRNA_SAD': [196, 241]}
ESYT1	{'C2': [649, 735, '//', 331, 417, '//', 988, 1077, '//', 480, 558, '//', 800, 875]}
ESYT3	{'C2': [308, 392, '//', 771, 860, '//', 446, 544]}
CXCR3	{'7tm_1': [70, 318]}
PEA15	{'DED': [4, 87]}
CXCR1	{'7tm_1': [56, 305]}
CXCR6	{'7tm_1': [48, 288]}
CXCR5	{'7tm_1': [68, 322]}
CXCR4	{'CXCR4_N': [6, 38], '7tm_1': [55, 302]}
JAG2	{'DSL': [178, 240], 'EGF_CA': [423, 465], 'EGF': [351, 381, '//', 793, 823, '//', 633, 670, '//', 831, 861, '//', 389, 419, '//', 678, 708, '//', 755, 785, '//', 458, 494, '//', 311, 343], 'hEGF': [521, 533, '//', 621, 633], 'MNNL': [26, 106]}
JAG1	{'DSL': [167, 229], 'EGF_CA': [412, 450], 'EGF': [671, 701, '//', 748, 778, '//', 378, 408, '//', 633, 663, '//', 340, 370, '//', 491, 521, '//', 447, 483, '//', 786, 816, '//', 300, 332, '//', 529, 559], 'MNNL': [31, 110]}
CLRN2	{'PMP22_Claudin': [10, 206]}
CLRN3	{'Claudin_2': [18, 200]}
LRRC9	{'LRR_8': [120, 177, '//', 1248, 1306], 'LRR_9': [969, 1086], 'LRR_4': [76, 118, '//', 931, 975]}
FOLH1	{'TFR_dimer': [626, 749], 'Peptidase_M28': [370, 562], 'PA': [165, 264]}
MYF6	{'HLH': [94, 145], 'Basic': [3, 93]}
APPBP2	{'TPR_12': [394, 461, '//', 439, 504]}
FAM180A	{'FAM180': [28, 163]}
QRICH1	{'DUF3504': [596, 760]}
CRYBB2	{'Crystall': [108, 190, '//', 18, 100]}
CRYBB3	{'Crystall': [115, 197, '//', 25, 107]}
CRYBB1	{'Crystall': [150, 232, '//', 60, 142]}
RAP1GAP	{'GoLoco': [1, 17], 'Rap_GAP': [210, 397]}
EXOC2	{'TIG': [8, 92], 'Sec5': [198, 377]}
DEFB107B	{'Defensin_beta_2': [33, 64]}
DEFB107A	{'Defensin_beta_2': [33, 64]}
C12orf60	{'DUF4533': [8, 233]}
HAP1	{'HAP1_N': [106, 461]}
EXOC7	{'Exo70': [360, 730]}
BNC2	{'zf-C2H2': [1035, 1058], 'zf-met': [441, 462], 'zf-C2H2_4': [834, 856, '//', 861, 886]}
EXOC8	{'Vps51': [17, 104]}
OR14K1	{'7tm_4': [138, 281]}
ANK1	{'Death': [1404, 1487], 'ZU5': [911, 1015], 'Ank': [700, 732, '//', 370, 402, '//', 77, 109, '//', 403, 435, '//', 205, 235, '//', 469, 501, '//', 110, 142, '//', 733, 765, '//', 438, 468, '//', 238, 270, '//', 337, 368, '//', 535, 567, '//', 271, 303, '//', 601, 632, '//', 568, 599, '//', 634, 666, '//', 304, 336, '//', 667, 699, '//', 502, 533, '//', 143, 169]}
ANK3	{'Ank_4': [697, 750], 'Ank_5': [386, 440], 'Death': [4091, 4174], 'Ank_2': [668, 760, '//', 338, 430, '//', 569, 661, '//', 272, 364, '//', 240, 331, '//', 46, 137, '//', 491, 562, '//', 427, 496, '//', 738, 817, '//', 130, 203, '//', 195, 267], 'ZU5': [982, 1086]}
MGAT4A	{'Glyco_transf_54': [74, 380]}
CHRNG	{'Neur_chan_LBD': [26, 241], 'Neur_chan_memb': [248, 492]}
MGAT4C	{'Glyco_transf_54': [44, 330]}
CHRNE	{'Neur_chan_LBD': [24, 240], 'Neur_chan_memb': [247, 474]}
C9orf96	{'Pkinase': [28, 297]}
IFI44	{'TLD': [26, 152]}
BZW1	{'W2': [335, 415]}
C9orf91	{'DUF4481': [37, 328]}
EVA1A	{'FAM176': [13, 152]}
EVA1B	{'FAM176': [7, 153]}
RAD18	{'zf-C3HC4': [25, 63], 'SAP': [248, 282]}
LINS	{'LINES_C': [711, 749], 'LINES_N': [192, 543]}
REXO1L10P	{'RNase_T': [410, 558]}
OR9A2	{'7tm_4': [135, 279]}
C5AR1	{'7tm_1': [54, 300]}
TNRC6B	{'RRM_5': [1664, 1718], 'Ago_hook': [921, 1061]}
TNRC6A	{'RRM_5': [1797, 1851], 'Ago_hook': [1065, 1203]}
USP28	{'UCH': [161, 647]}
PHACTR1	{'RPEL': [460, 485, '//', 138, 162, '//', 422, 447, '//', 498, 523]}
USP26	{'UCH': [294, 883]}
USP25	{'UIM': [96, 113, '//', 123, 140], 'UCH': [168, 654]}
USP24	{'UCH': [1688, 2039]}
PSMD6	{'PCI': [254, 358], 'RPN7': [66, 239]}
CXCL13	{'IL8': [27, 91]}
USP21	{'UCH': [211, 555]}
USP20	{'zf-UBP': [30, 95], 'DUSP': [815, 891], 'UCH': [144, 682]}
ADAMTS5	{'Pep_M12B_propep': [38, 182], 'TSP_1': [571, 621, '//', 879, 930], 'ADAM_spacer1': [732, 852], 'Reprolysin': [267, 476]}
ADAMTS4	{'Pep_M12B_propep': [59, 181], 'TSP_1': [524, 574], 'ADAM_spacer1': [686, 803], 'Reprolysin': [218, 428]}
ADAMTS7	{'Pep_M12B_propep': [43, 184], 'TSP_1': [542, 592, '//', 947, 994, '//', 826, 879, '//', 1525, 1570, '//', 1467, 1521, '//', 1416, 1463, '//', 1573, 1628], 'ADAM_spacer1': [698, 809], 'Reprolysin': [242, 452]}
CXCL12	{'IL8': [24, 87]}
ADAMTS1	{'Pep_M12B_propep': [46, 174], 'TSP_1': [563, 613, '//', 912, 966, '//', 858, 909], 'ADAM_spacer1': [725, 843], 'Reprolysin': [258, 467]}
TMEM134	{'DUF872': [57, 193]}
ADAMTS3	{'Pep_M12B_propep': [42, 201], 'TSP_1': [970, 1015, '//', 553, 605, '//', 850, 904, '//', 910, 966], 'ADAM_spacer1': [713, 827], 'Reprolysin': [257, 460]}
ARHGEF9	{'SH3_9': [15, 63], 'PH': [323, 425], 'RhoGEF': [107, 286]}
ARHGEF7	{'SH3_2': [188, 241], 'CH': [4, 132], 'PH': [478, 578], 'RhoGEF': [275, 450]}
ARHGEF4	{'SH3_9': [201, 249], 'PH': [500, 604], 'RhoGEF': [288, 467]}
ADAMTS8	{'Pep_M12B_propep': [28, 151], 'TSP_1': [530, 580, '//', 837, 887], 'ADAM_spacer1': [690, 809], 'Reprolysin': [219, 429]}
COTL1	{'Cofilin_ADF': [8, 130]}
ARHGEF1	{'RGS-like': [42, 232], 'RhoGEF': [420, 604]}
CDH9	{'Cadherin': [164, 259, '//', 388, 479, '//', 273, 375, '//', 59, 150, '//', 492, 589], 'Cadherin_C': [637, 784]}
PROKR1	{'7tm_1': [79, 342]}
PROKR2	{'7tm_1': [70, 333]}
CDH1	{'Cadherin': [267, 366, '//', 380, 478, '//', 491, 585, '//', 159, 253, '//', 598, 686], 'Cadherin_C': [732, 879], 'Cadherin_pro': [27, 116]}
CDH3	{'Cadherin': [220, 319, '//', 333, 432, '//', 445, 539, '//', 112, 206], 'Cadherin_C': [677, 826]}
CDH5	{'Cadherin': [263, 364, '//', 156, 249, '//', 377, 470, '//', 483, 576, '//', 52, 142], 'Cadherin_C': [621, 777]}
CDH4	{'Cadherin': [282, 383, '//', 512, 606, '//', 397, 499, '//', 174, 268], 'Cadherin_C': [757, 913], 'Cadherin_pro': [30, 121]}
CDH7	{'Cadherin': [158, 253, '//', 382, 473, '//', 486, 583, '//', 267, 369, '//', 53, 144], 'Cadherin_C': [631, 779]}
CENPO	{'CENP-O': [120, 197]}
CENPN	{'CENP-N': [3, 339]}
DPP10	{'Peptidase_S9': [580, 784], 'DPPIV_N': [133, 500]}
CENPL	{'CENP-L': [176, 326]}
CENPK	{'CENP-K': [1, 269]}
CENPJ	{'Tcp10_C': [1159, 1337]}
HGFAC	{'Trypsin': [408, 641], 'Kringle': [286, 367], 'fn2': [108, 148], 'fn1': [202, 237], 'EGF': [245, 277, '//', 164, 196]}
CENPH	{'CENP-H': [136, 241]}
CENPE	{'Kinesin': [12, 329]}
C1orf131	{'DUF4602': [120, 259]}
ZG16	{'Jacalin': [28, 159]}
CENPB	{'CENP-B_N': [2, 56], 'DDE_1': [186, 384], 'HTH_Tnp_Tc5': [74, 136], 'CENP-B_dimeris': [499, 599]}
RAMP3	{'RAMP': [34, 148]}
LDB3	{'LIM': [610, 665, '//', 669, 725, '//', 551, 606], 'PDZ': [3, 81]}
BBX	{'HMG_box': [80, 148], 'DUF2028': [191, 323]}
LDB1	{'LIM_bind': [68, 272]}
SSH2	{'DSPc': [315, 445], 'DEK_C': [250, 303]}
TERF2IP	{'Rap1_C': [318, 399], 'Myb_DNA-bind_2': [132, 196]}
SSH1	{'DSPc': [316, 446], 'DEK_C': [251, 304]}
CENPW	{'CENP-W': [1, 88]}
CENPV	{'GFA': [170, 257]}
CENPT	{'CENP-T': [25, 514]}
CENPQ	{'CENP-Q': [116, 266]}
MIF4GD	{'MIF4G': [3, 205]}
ATP5G1	{'ATP-synt_C': [67, 135]}
PLEKHA4	{'PH': [55, 153]}
PLEKHA5	{'WW': [58, 87], 'PH': [170, 267]}
PLEKHA6	{'PH': [60, 158]}
TRPC1	{'Ion_trans': [425, 645], 'TRP_2': [193, 255], 'Ank_2': [51, 142]}
ATP5G3	{'ATP-synt_C': [73, 141]}
PLEKHA3	{'PH': [1, 93]}
SLC9B1	{'Na_H_Exchanger': [61, 491]}
WDR34	{'WD40': [383, 421, '//', 473, 511, '//', 256, 299]}
NETO2	{'Ldl_recept_a': [295, 331], 'CUB': [45, 156, '//', 177, 289]}
PLEKHA8	{'GLTP': [328, 474], 'PH': [1, 93]}
IFI27L1	{'Ifi-6-16': [16, 98]}
ARSB	{'Sulfatase': [45, 364]}
OR1D2	{'7tm_4': [139, 282]}
SEC62	{'Sec62': [86, 308]}
SEC63	{'DnaJ': [104, 162], 'Sec63': [197, 532]}
DHX38	{'Helicase_C': [766, 861], 'HA2': [922, 1012], 'OB_NTP_bind': [1021, 1148], 'DEAD': [535, 694]}
GMNN	{'Geminin': [1, 190]}
TIMM23B	{'Tim17': [71, 202]}
TRIB2	{'Pkinase': [72, 308]}
TRIB3	{'Pkinase': [78, 315]}
DHX30	{'Helicase_C': [693, 787], 'HA2': [850, 940], 'OB_NTP_bind': [951, 1106], 'DEAD': [437, 600]}
DHX32	{'HA2': [457, 548], 'OB_NTP_bind': [589, 696]}
DHX33	{'Helicase_C': [320, 410], 'HA2': [470, 563], 'OB_NTP_bind': [596, 697], 'DEAD': [67, 240]}
DHX34	{'Helicase_C': [404, 496], 'HA2': [556, 646], 'OB_NTP_bind': [685, 911], 'DEAD': [165, 319]}
DHX36	{'Helicase_C': [513, 607], 'HA2': [669, 760], 'OB_NTP_bind': [799, 917], 'DEAD': [210, 376]}
LCE1F	{'LCE': [25, 118]}
LCE1D	{'LCE': [55, 114]}
LCE1E	{'LCE': [58, 118, '//', 25, 62]}
LCE1B	{'LCE': [58, 118, '//', 25, 63]}
LCE1C	{'LCE': [58, 118, '//', 25, 64]}
CABIN1	{'MEF2_binding': [2156, 2190], 'TPR_11': [89, 155]}
LCE1A	{'LCE': [10, 110]}
LAYN	{'Lectin_C': [60, 186]}
B3GNTL1	{'Glycos_transf_2': [21, 193]}
MPLKIP	{'MPLKIP': [2, 171]}
VN1R2	{'V1R': [115, 374]}
SPANXB1	{'SPAN-X': [1, 103]}
VN1R1	{'V1R': [73, 338]}
